,p_parkacc,pop2010,gini_index,median_hh_income,ave_fam_size,job_house_tot,job_match,ozone,pm25_conc,p_hs_edatt,livewage_s,poverty_all,unemp_rate,voted,bad_water,traf_sev,alc_on,nocar,hh_fam,placename,county,regionid,placefp,geoname,zri_sqft,hval_sqft
23,0.8371863,3028.0,0.41,41313.0,3.59,0.4359484,0.4229287,0.333333,8.161214,66.4,24.6153846154,18.8,13.9,60.0225225,0.0,6.23830318153,23.5468956407,1.1,80.2,Arbuckle,Colusa,16791.0,2420,Arbuckle CDP,0.888,
24,0.7655596,56364.0,0.479,77024.0,3.0,1.4317726,1.3223297,14.955391178,13.247496312,91.5,14.4706734658,9.1,4.7,49.9312479,0.0,11.4472959341,33.9684905259,4.26040923888,76.1,Arcadia,Los Angeles,50749.0,2462,Arcadia city,1.564,367.0
25,0.9645407,17231.0,0.486,32017.0,2.56,1.3186307,1.3461022,0.0,6.753552118,90.9,17.857404878,28.5,8.6,59.7618615,0.0,33.8824629045,43.6480761418,24.5706713781,38.7,Arcata,Humboldt,10157.0,2476,Arcata city,,191.0
26,0.9195648,92186.0,0.494,46677.0,2.76,1.0581239,1.6794522,11.521384167,11.235889402,90.0,23.0483748943,15.3,10.0,65.6893604,0.0,28.816542015,44.388518864,7.6961742775,53.6,Arden-Arcade,Sacramento,396020.0,2553,Arden-Arcade CDP,0.938,145.0
27,0.9540423,4156.0,0.296,43609.0,4.13,0.5951904,0.6734694,23.829483788,16.322483181,69.2,16.6666666667,9.3,13.7,49.5804196,30.199781884,45.9619172685,45.6929740135,0.0,78.7,Armona,Kings,16803.0,2700,Armona CDP,0.95,103.0
28,0.5701275,3843.0,0.397,55625.0,2.19,0.1029854,0.3428953,4.8051004957,6.678093,89.5,34.1935483871,6.0,8.5,73.3870968,53.1175909085,52.3407967432,3.2006245121,13.1,69.6,Arnold,Calaveras,48710.0,2770,Arnold CDP,1.016,153.0
29,0.0,2650.0,0.493,85536.0,2.97,0.3959445,0.2942109,0.0,6.964279,92.1,20.3395804196,7.0,10.0,70.0325733,0.0,34.5125107852,7.54716981132,0.7,83.9,Aromas,Monterey,43944.0,2812,Aromas CDP,1.184,211.0
30,0.6389404,17252.0,0.427,58725.0,2.62,0.6851828,0.9085994,0.0,7.8509100705,90.8,17.7777648766,5.9,7.2,73.1473174,0.0,15.2346130408,28.3561326223,3.10396361274,65.4,Arroyo Grande,San Luis Obispo,23523.0,2868,Arroyo Grande city,,243.0
31,0.842392,16522.0,0.384,56777.0,3.39,1.5359674,1.03203,1.0,14.23423,78.6,29.0483936862,9.3,8.1,42.8161787,0.0,25.35650032,74.512770851,7.60327868852,85.9,Artesia,Los Angeles,30267.0,2896,Artesia city,1.492,247.0
32,0.7620182,19304.0,0.371,32949.0,4.46,0.4637339,0.3344166,66.0,15.872625,31.7,51.9752918033,33.1,14.1,42.695962,100.0,10.8774868654,14.9088271861,1.4,87.5,Arvin,Kern,50774.0,2924,Arvin city,0.822,71.0
33,0.2614271,28310.0,0.4,65479.0,2.6,0.6582351,0.7708414,0.0,7.861129,88.2,12.5351438001,8.8,7.6,69.880902,0.0,28.494899413,20.4274108089,3.66566459432,67.8,Atascadero,San Luis Obispo,37206.0,3064,Atascadero city,1.13,201.0
34,0.4286954,6914.0,0.531,223611.0,3.45,0.9162261,1.1396055,0.0,8.597052,97.4,8.69184569733,7.1,6.4,73.1726908,0.0,46.2989756352,7.66560601678,5.5,81.9,Atherton,San Mateo,30280.0,3092,Atherton town,3.24,862.0
35,0.875568,28168.0,0.445,42226.0,3.22,0.4660804,0.4680404,14.333333,12.849733,73.5,34.0618947368,23.4,14.7,50.1801289,0.0,13.6792011347,23.3030389094,1.7085150144,76.2,Atwater,Merced,50797.0,3162,Atwater city,0.75,
36,0.3761081,2369.0,0.321,70917.0,3.28,0.3959391,0.6122449,26.372167951,8.5034531359,97.0,7.58090322581,2.8,5.5,66.984127,54.6875,117.540687161,0.126635711271,3.5,73.4,Auberry,Fresno,28224.0,3190,Auberry CDP,1.096,159.0
37,0.7214554,13330.0,0.455,60756.0,2.62,1.548566,1.3048064,19.666667,7.808814,93.0,12.6330364372,8.9,5.9,72.9607251,0.0,28.9105295192,28.8522130533,4.9437849944,60.9,Auburn,Placer,50800.0,3204,Auburn city,0.936,163.0
