,placefp,geoname,p_parkacc,pop2010,gini_index,median_hh_income,athome,bicycle,car,carpool,cartotal,publictr,walk,median_income,food_afford,ave_fam_size,hfood_acc,job_house_low,job_house_tot,job_match,ozone,pm25_conc,p_hs_edatt,livewage_s,livewage_m,poverty_child,poverty_conc,poverty_all,unemp_rate,day_care,inf_care,violent_crime,child_abuse,voted,bad_water,p_trans_acc,traf_fatal,traf_sev,alc_off,alc_on,alc_tot,hh_f,hh_f_child,hh_m,hh_m_child,hh_married,hh_married_child,hh_nonfam,hh_nonfam_solo,placename,county,regionid,zri_sqft,hval_sqft
10,01150,Alondra Park CDP,0.9310987,8592.0,0.423,52346.0,2.3,0.680786686838,76.6,12.6,89.2082702975,5.2,1.5,10703.0,0.6673431,3.25,2.3809524,4.2922078,0.8264523,0.669627,0.0,14.337267315,77.4,51.9901649175,100.0,31.9,0.0,18.9,9.2,607.664233577,,,6.10932475884,49.3433396,0.0,0.999883612663,4.53669048429,9.07338096858,52.7467411546,59.020018622,64.9324953445,15.7,6.6,11.2,8.3,47.3,22.8,25.8,21.6,Alondra Park,Los Angeles,113412.0,1.664,310.0
11,01192,Alpine CDP,0.4619275,14236.0,0.465,81613.0,7.7,0.0,77.8,11.2,88.9803383631,1.6,1.5,41691.0,0.1354659,2.67,9.6789635,2.3605948,0.3315138,0.3455994,8.973330522,11.409708065,91.8,14.7083685545,77.4763636364,5.9,0.0,6.4,6.1,318.54199683,36.3196125908,,,71.1105763,0.0,0.0,22.51238181,27.014858172,22.0286597359,17.5119415566,23.1806687272,10.5,5.0,7.0,4.5,61.5,24.4,21.0,17.7,Alpine,San Diego,43867.0,1.088,207.0
12,01276,Alta CDP,0.1213115,610.0,0.39,51750.0,0.0,0.0,83.5,16.5,100.0,0.0,0.0,,,2.0,,0.8333333,0.1076923,0.1569507,11.170491825,7.1475091066,93.9,,,0.0,,6.8,6.1,,,,,72.6315789,0.0,0.0,,38.9863547758,7.70491803279,,7.70491803279,2.0,0.0,10.7,1.5,65.3,33.2,21.9,14.3,Alta,Placer,3379.0,1.002,161.0
13,01290,Altadena CDP,0.8411763,42777.0,0.451,82839.0,5.7,0.827412116679,76.0,10.8,86.8268511593,4.5,1.0,50859.0,0.1507194,3.3,6.9507939,3.064632,0.2820911,0.2465366,16.07065301,12.196938896,86.0,14.7892574386,52.0726108374,12.5,0.0,9.2,7.3,316.455696203,72.5352112676,,3.76298106292,62.0173798,0.0,0.0,1.76033094222,7.92148923998,37.008205344,14.6013044393,39.9163101667,12.2,5.2,5.7,2.1,53.3,24.9,28.7,23.4,Altadena,Los Angeles,30187.0,1.596,349.0
14,01458,Alum Rock CDP,0.3147528,15536.0,0.383,61397.0,4.5,0.0,71.0,15.1,86.0852596818,2.5,2.7,28790.0,0.2747577,3.64,3.0273181,1.6107383,0.2789289,0.2326509,0.666667,10.25940478,66.3,26.444795107,89.6881428571,11.3,0.0,9.7,10.7,39.1969407266,,,,58.5391377,0.0,0.857621009269,,4.98473425136,48.6161174047,39.7206488157,54.6086508754,17.1,5.7,7.8,2.7,61.3,33.0,13.9,11.9,Alum Rock,Santa Clara,113441.0,1.636,270.0
15,01640,American Canyon city,0.9988177,19454.0,0.369,80556.0,3.8,0.0,78.2,13.7,91.9925971622,2.0,1.5,58250.0,0.1435421,3.52,,3.7864078,0.54719,0.394571,0.333333,9.223185,83.1,15.92839556,49.5225209003,6.4,0.0,5.1,7.4,149.466192171,,1.95332579418,,56.9624777,0.0,0.0,,13.0774512048,20.6898324252,21.4146191015,26.0923203454,13.7,5.8,4.6,2.1,62.4,37.0,19.3,17.6,American Canyon,Napa,16760.0,0.938,141.0
16,02000,Anaheim city,0.8790775,336265.0,0.42,57807.0,2.8,0.804975496467,74.5,14.1,88.5755148366,4.8,2.1,27803.0,0.295554,3.54,12.092172,8.0056028,1.6281589,1.11875,3.7973653833,13.519551995,73.7,34.9462180642,83.3711144465,20.3,0.0,13.7,9.6,218.141916606,19.2096242158,3.45263408324,4.54995532156,47.5390713,0.0,0.510240435371,8.36535035772,22.2072969928,55.4446641785,46.4767370972,62.436173851,15.8,8.6,6.3,2.7,53.5,29.0,24.4,18.7,Anaheim,Orange,16764.0,1.464,248.0
17,02042,Anderson city,0.4619412,9932.0,0.402,34852.0,3.4,0.0,75.6,14.0,89.6857373086,0.0,3.4,20402.0,0.3379237,3.09,9.0909091,0.7991914,0.8812653,1.1162528,3.666667,8.238298,81.1,39.7668874172,92.209829912,29.3,0.0,22.2,15.5,203.821656051,,7.7527184857,,61.1150822,0.0,,8.05882945502,34.2500251838,35.1691502215,26.9029399919,40.5457108337,12.0,8.6,5.5,2.0,38.7,19.0,43.8,32.8,Anderson,Shasta,10128.0,0.998,112.0
18,02112,Angels city,0.5229406,3836.0,0.419,40690.0,18.3,0.0,67.2,11.6,78.8696210662,0.0,2.8,,,3.59,,1.8408163,0.5903614,0.5257945,9.0,8.747178,84.3,,,7.7,0.0,5.5,5.3,333.333333333,,2.86757038582,7.096069869,70.080748,0.0,,,21.0814799199,36.6006256517,44.6558915537,48.6444212722,9.5,0.0,2.4,0.9,53.6,18.7,34.6,23.9,Angels,Calaveras,398839.0,0.986,142.0
19,02252,Antioch city,0.9150842,102372.0,0.404,66351.0,3.7,0.335381584502,72.1,16.0,88.165486186,5.5,1.1,31479.0,0.2498401,3.52,9.5230786,3.2304793,0.5464811,0.4457085,1.7981676697,9.9706678268,84.2,19.5295513161,72.1892612613,18.5,0.0,13.4,10.3,181.681931724,19.442492387,8.43980775993,8.03595505618,55.9337647,0.0,0.471095612081,5.56751909361,23.6619561478,29.3341929434,30.3080920564,39.1884499668,16.3,10.3,8.3,4.3,53.1,26.6,22.3,17.0,Antioch,Contra Costa,16780.0,1.014,114.0
